Candidate,Optimization Score,Similar Molecule,Distance,DFT Energy,ML Energy,Energy Error,DFT Dipole,ML Dipole,Dipole Error,DFT HOMO,ML HOMO,HOMO Error,DFT LUMO,ML LUMO,LUMO Error,DFT Gap,ML Gap,Gap Error,DFT Polarizability,ML Polarizability,Polarizability Error
40,-18.41,COC,1.3383,-151.1495,-188.3681,24.62,2.3379,2.3988,2.61,-0.1711,-0.2240,30.98,-0.1290,0.1015,178.68,0.0420,0.4625,1000.84,17.5000,19.3295,10.45
41,-18.12,COCC,1.4362,-189.7906,-112.4478,40.75,2.0553,2.8550,38.91,-0.1716,-0.3638,112.00,-0.0605,0.1040,271.96,0.1111,0.4890,340.07,25.0000,10.6859,57.26
42,-18.28,CCO,1.3771,-151.1495,-200.5642,32.69,2.3379,2.2427,4.07,-0.1711,-0.1985,16.06,-0.1290,0.0972,175.36,0.0420,0.4472,964.35,17.5000,22.4414,28.24
43,-21.45,CCO,1.6007,-151.1495,-202.6663,34.08,2.3379,2.2615,3.27,-0.1711,-0.1817,6.21,-0.1290,-0.0124,90.37,0.0420,0.1793,326.69,17.5000,27.2685,55.82
44,-17.22,O,2.1277,-45.3901,-52.8698,16.48,3.2426,2.8987,10.61,-0.4742,-0.4580,3.41,0.1138,0.0023,98.01,0.5880,0.2483,57.77,3.0475,10.1277,232.33
45,-10.79,CCO,2.1094,-151.1495,-219.9209,45.50,2.3379,2.4452,4.59,-0.1711,-0.3614,111.29,-0.1290,-0.0428,66.84,0.0420,0.2587,515.77,17.5000,21.7595,24.34
46,-17.87,CO,1.3861,-125.2826,-186.7435,49.06,2.8446,2.1579,24.14,-0.2560,-0.1985,22.45,0.0803,0.1066,32.70,0.3363,0.4703,39.85,4.3642,20.8328,377.36
47,-15.58,COCC,3.4873,-189.7906,-171.4624,9.66,2.0553,2.6238,27.66,-0.1716,-0.2814,64.00,-0.0605,-0.0608,0.48,0.1111,0.2390,115.08,25.0000,20.7488,17.00
48,-22.95,CC(C)O,1.0103,-189.7906,-216.2212,13.93,2.0553,2.2262,8.31,-0.1716,-0.1883,9.75,-0.0605,0.0980,262.02,0.1111,0.4177,275.90,25.0000,22.7786,8.89
49,-18.15,CCO,1.4446,-151.1495,-194.1357,28.44,2.3379,2.3117,1.12,-0.1711,-0.1929,12.76,-0.1290,0.0938,172.71,0.0420,0.4322,928.69,17.5000,23.5624,34.64
50,-14.81,COCC,1.7736,-189.7906,-97.4294,48.66,2.0553,3.0491,48.35,-0.1716,-0.3913,128.01,-0.0605,-0.0171,71.77,0.1111,0.1875,68.72,25.0000,14.6050,41.58
